data;fonte;indicador;categoria;subcategoria;produto;uf;regiao;valor;unidade;periodicidade
2018-03-01;Indicador Setorial Histórico Exemplo;preco_farelo_soja_ton;graos_racao;insumo;Farelo de soja;MG;;1546.546;R$/ton;mensal
2018-03-01;Indicador Setorial Histórico Exemplo;preco_fish_meal_ton;graos_racao;insumo global;Farinha de peixe;BR;;1413.4229;US$/ton;mensal
2018-04-01;Indicador Setorial Histórico Exemplo;preco_tilapia_kg;proteina;pescado;Tilápia;MG;;15.1096;R$/kg;mensal
2018-04-01;Indicador Setorial Histórico Exemplo;preco_salmao_kg;proteina;pescado importado;Salmão;MG;;51.5196;R$/kg;mensal
2018-04-01;Indicador Setorial Histórico Exemplo;preco_bacalhau_kg;proteina;pescado importado;Bacalhau;MG;;67.2575;R$/kg;mensal
2018-04-01;Indicador Setorial Histórico Exemplo;preco_camarao_kg;proteina;pescado importado;Camarão;MG;;59.5729;R$/kg;mensal
2018-04-01;Indicador Setorial Histórico Exemplo;preco_frango_kg;proteina;concorrente;Frango;MG;;7.751;R$/kg;mensal
2018-04-01;Indicador Setorial Histórico Exemplo;preco_suino_kg;proteina;concorrente;Suíno;MG;;13.396;R$/kg;mensal
2018-04-01;Indicador Setorial Histórico Exemplo;preco_bovino_kg;proteina;concorrente;Bovino;MG;;27.4572;R$/kg;mensal
2018-04-01;Indicador Setorial Histórico Exemplo;preco_ovos_duzia;proteina;concorrente;Ovos;MG;;9.0086;R$/dz;mensal
2018-04-01;Indicador Setorial Histórico Exemplo;preco_milho_sc;graos_racao;insumo;Milho;MG;;40.7946;R$/sc;mensal
2018-04-01;Indicador Setorial Histórico Exemplo;preco_soja_sc;graos_racao;insumo;Soja;MG;;84.5975;R$/sc;mensal
2018-04-01;Indicador Setorial Histórico Exemplo;preco_farelo_soja_ton;graos_racao;insumo;Farelo de soja;MG;;1556.8631;R$/ton;mensal
2018-04-01;Indicador Setorial Histórico Exemplo;preco_fish_meal_ton;graos_racao;insumo global;Farinha de peixe;BR;;1378.2176;US$/ton;mensal
2018-05-01;Indicador Setorial Histórico Exemplo;preco_tilapia_kg;proteina;pescado;Tilápia;MG;;15.4446;R$/kg;mensal
2018-05-01;Indicador Setorial Histórico Exemplo;preco_salmao_kg;proteina;pescado importado;Salmão;MG;;51.1838;R$/kg;mensal
2018-05-01;Indicador Setorial Histórico Exemplo;preco_bacalhau_kg;proteina;pescado importado;Bacalhau;MG;;67.6871;R$/kg;mensal
2018-05-01;Indicador Setorial Histórico Exemplo;preco_camarao_kg;proteina;pescado importado;Camarão;MG;;60.9011;R$/kg;mensal
2018-05-01;Indicador Setorial Histórico Exemplo;preco_frango_kg;proteina;concorrente;Frango;MG;;7.7485;R$/kg;mensal
2018-05-01;Indicador Setorial Histórico Exemplo;preco_suino_kg;proteina;concorrente;Suíno;MG;;13.1101;R$/kg;mensal
2018-05-01;Indicador Setorial Histórico Exemplo;preco_bovino_kg;proteina;concorrente;Bovino;MG;;27.0671;R$/kg;mensal
2018-05-01;Indicador Setorial Histórico Exemplo;preco_ovos_duzia;proteina;concorrente;Ovos;MG;;8.8072;R$/dz;mensal
2018-05-01;Indicador Setorial Histórico Exemplo;preco_milho_sc;graos_racao;insumo;Milho;MG;;39.9508;R$/sc;mensal
2018-05-01;Indicador Setorial Histórico Exemplo;preco_soja_sc;graos_racao;insumo;Soja;MG;;83.7173;R$/sc;mensal
2018-05-01;Indicador Setorial Histórico Exemplo;preco_farelo_soja_ton;graos_racao;insumo;Farelo de soja;MG;;1569.4537;R$/ton;mensal
2018-05-01;Indicador Setorial Histórico Exemplo;preco_fish_meal_ton;graos_racao;insumo global;Farinha de peixe;BR;;1397.5057;US$/ton;mensal
2018-06-01;Indicador Setorial Histórico Exemplo;preco_tilapia_kg;proteina;pescado;Tilápia;MG;;14.9146;R$/kg;mensal
2018-06-01;Indicador Setorial Histórico Exemplo;preco_salmao_kg;proteina;pescado importado;Salmão;MG;;50.5917;R$/kg;mensal
2018-06-01;Indicador Setorial Histórico Exemplo;preco_bacalhau_kg;proteina;pescado importado;Bacalhau;MG;;66.6884;R$/kg;mensal
2018-06-01;Indicador Setorial Histórico Exemplo;preco_camarao_kg;proteina;pescado importado;Camarão;MG;;57.7851;R$/kg;mensal
2018-06-01;Indicador Setorial Histórico Exemplo;preco_frango_kg;proteina;concorrente;Frango;MG;;7.5965;R$/kg;mensal
2018-06-01;Indicador Setorial Histórico Exemplo;preco_suino_kg;proteina;concorrente;Suíno;MG;;13.0906;R$/kg;mensal
2018-06-01;Indicador Setorial Histórico Exemplo;preco_bovino_kg;proteina;concorrente;Bovino;MG;;27.1873;R$/kg;mensal
2018-06-01;Indicador Setorial Histórico Exemplo;preco_ovos_duzia;proteina;concorrente;Ovos;MG;;8.9151;R$/dz;mensal
2018-06-01;Indicador Setorial Histórico Exemplo;preco_milho_sc;graos_racao;insumo;Milho;MG;;41.0406;R$/sc;mensal
2018-06-01;Indicador Setorial Histórico Exemplo;preco_soja_sc;graos_racao;insumo;Soja;MG;;83.3799;R$/sc;mensal
2018-06-01;Indicador Setorial Histórico Exemplo;preco_farelo_soja_ton;graos_racao;insumo;Farelo de soja;MG;;1577.7662;R$/ton;mensal
2018-06-01;Indicador Setorial Histórico Exemplo;preco_fish_meal_ton;graos_racao;insumo global;Farinha de peixe;BR;;1423.1889;US$/ton;mensal
2018-07-01;Indicador Setorial Histórico Exemplo;preco_tilapia_kg;proteina;pescado;Tilápia;MG;;15.0611;R$/kg;mensal
2018-07-01;Indicador Setorial Histórico Exemplo;preco_salmao_kg;proteina;pescado importado;Salmão;MG;;50.2514;R$/kg;mensal
2018-07-01;Indicador Setorial Histórico Exemplo;preco_bacalhau_kg;proteina;pescado importado;Bacalhau;MG;;65.4283;R$/kg;mensal
2018-07-01;Indicador Setorial Histórico Exemplo;preco_camarao_kg;proteina;pescado importado;Camarão;MG;;57.2846;R$/kg;mensal
2018-07-01;Indicador Setorial Histórico Exemplo;preco_frango_kg;proteina;concorrente;Frango;MG;;7.7767;R$/kg;mensal
2018-07-01;Indicador Setorial Histórico Exemplo;preco_suino_kg;proteina;concorrente;Suíno;MG;;13.1294;R$/kg;mensal
2018-07-01;Indicador Setorial Histórico Exemplo;preco_bovino_kg;proteina;concorrente;Bovino;MG;;27.233;R$/kg;mensal
2018-07-01;Indicador Setorial Histórico Exemplo;preco_ovos_duzia;proteina;concorrente;Ovos;MG;;8.5518;R$/dz;mensal
2018-07-01;Indicador Setorial Histórico Exemplo;preco_milho_sc;graos_racao;insumo;Milho;MG;;38.6797;R$/sc;mensal
2018-07-01;Indicador Setorial Histórico Exemplo;preco_soja_sc;graos_racao;insumo;Soja;MG;;79.8903;R$/sc;mensal
2018-07-01;Indicador Setorial Histórico Exemplo;preco_farelo_soja_ton;graos_racao;insumo;Farelo de soja;MG;;1487.1486;R$/ton;mensal
2018-07-01;Indicador Setorial Histórico Exemplo;preco_fish_meal_ton;graos_racao;insumo global;Farinha de peixe;BR;;1355.3178;US$/ton;mensal
2018-08-01;Indicador Setorial Histórico Exemplo;preco_tilapia_kg;proteina;pescado;Tilápia;MG;;14.6078;R$/kg;mensal
2018-08-01;Indicador Setorial Histórico Exemplo;preco_salmao_kg;proteina;pescado importado;Salmão;MG;;50.0079;R$/kg;mensal
2018-08-01;Indicador Setorial Histórico Exemplo;preco_bacalhau_kg;proteina;pescado importado;Bacalhau;MG;;64.3646;R$/kg;mensal
2018-08-01;Indicador Setorial Histórico Exemplo;preco_camarao_kg;proteina;pescado importado;Camarão;MG;;56.0448;R$/kg;mensal
2018-08-01;Indicador Setorial Histórico Exemplo;preco_frango_kg;proteina;concorrente;Frango;MG;;7.3601;R$/kg;mensal
2018-08-01;Indicador Setorial Histórico Exemplo;preco_suino_kg;proteina;concorrente;Suíno;MG;;12.9668;R$/kg;mensal
2018-08-01;Indicador Setorial Histórico Exemplo;preco_bovino_kg;proteina;concorrente;Bovino;MG;;26.0849;R$/kg;mensal
2018-08-01;Indicador Setorial Histórico Exemplo;preco_ovos_duzia;proteina;concorrente;Ovos;MG;;8.6546;R$/dz;mensal
2018-08-01;Indicador Setorial Histórico Exemplo;preco_milho_sc;graos_racao;insumo;Milho;MG;;37.5734;R$/sc;mensal
2018-08-01;Indicador Setorial Histórico Exemplo;preco_soja_sc;graos_racao;insumo;Soja;MG;;79.5699;R$/sc;mensal
2018-08-01;Indicador Setorial Histórico Exemplo;preco_farelo_soja_ton;graos_racao;insumo;Farelo de soja;MG;;1437.1851;R$/ton;mensal
2018-08-01;Indicador Setorial Histórico Exemplo;preco_fish_meal_ton;graos_racao;insumo global;Farinha de peixe;BR;;1352.144;US$/ton;mensal
2018-09-01;Indicador Setorial Histórico Exemplo;preco_tilapia_kg;proteina;pescado;Tilápia;MG;;14.5909;R$/kg;mensal
2018-09-01;Indicador Setorial Histórico Exemplo;preco_salmao_kg;proteina;pescado importado;Salmão;MG;;50.936;R$/kg;mensal
2018-09-01;Indicador Setorial Histórico Exemplo;preco_bacalhau_kg;proteina;pescado importado;Bacalhau;MG;;63.2764;R$/kg;mensal
2018-09-01;Indicador Setorial Histórico Exemplo;preco_camarao_kg;proteina;pescado importado;Camarão;MG;;56.4147;R$/kg;mensal
2018-09-01;Indicador Setorial Histórico Exemplo;preco_frango_kg;proteina;concorrente;Frango;MG;;7.5846;R$/kg;mensal
2018-09-01;Indicador Setorial Histórico Exemplo;preco_suino_kg;proteina;concorrente;Suíno;MG;;12.8928;R$/kg;mensal
2018-09-01;Indicador Setorial Histórico Exemplo;preco_bovino_kg;proteina;concorrente;Bovino;MG;;26.2867;R$/kg;mensal
2018-09-01;Indicador Setorial Histórico Exemplo;preco_ovos_duzia;proteina;concorrente;Ovos;MG;;8.7068;R$/dz;mensal
2018-09-01;Indicador Setorial Histórico Exemplo;preco_milho_sc;graos_racao;insumo;Milho;MG;;38.9141;R$/sc;mensal
2018-09-01;Indicador Setorial Histórico Exemplo;preco_soja_sc;graos_racao;insumo;Soja;MG;;79.87;R$/sc;mensal
2018-09-01;Indicador Setorial Histórico Exemplo;preco_farelo_soja_ton;graos_racao;insumo;Farelo de soja;MG;;1439.0683;R$/ton;mensal
2018-09-01;Indicador Setorial Histórico Exemplo;preco_fish_meal_ton;graos_racao;insumo global;Farinha de peixe;BR;;1336.1403;US$/ton;mensal
2018-10-01;Indicador Setorial Histórico Exemplo;preco_tilapia_kg;proteina;pescado;Tilápia;MG;;14.8053;R$/kg;mensal
2018-10-01;Indicador Setorial Histórico Exemplo;preco_salmao_kg;proteina;pescado importado;Salmão;MG;;49.3488;R$/kg;mensal
2018-10-01;Indicador Setorial Histórico Exemplo;preco_bacalhau_kg;proteina;pescado importado;Bacalhau;MG;;63.1771;R$/kg;mensal
2018-10-01;Indicador Setorial Histórico Exemplo;preco_camarao_kg;proteina;pescado importado;Camarão;MG;;55.1805;R$/kg;mensal
2018-10-01;Indicador Setorial Histórico Exemplo;preco_frango_kg;proteina;concorrente;Frango;MG;;7.6402;R$/kg;mensal
2018-10-01;Indicador Setorial Histórico Exemplo;preco_suino_kg;proteina;concorrente;Suíno;MG;;12.7234;R$/kg;mensal
2018-10-01;Indicador Setorial Histórico Exemplo;preco_bovino_kg;proteina;concorrente;Bovino;MG;;26.5584;R$/kg;mensal
2018-10-01;Indicador Setorial Histórico Exemplo;preco_ovos_duzia;proteina;concorrente;Ovos;MG;;8.6744;R$/dz;mensal
2018-10-01;Indicador Setorial Histórico Exemplo;preco_milho_sc;graos_racao;insumo;Milho;MG;;37.2018;R$/sc;mensal
2018-10-01;Indicador Setorial Histórico Exemplo;preco_soja_sc;graos_racao;insumo;Soja;MG;;78.8434;R$/sc;mensal
2018-10-01;Indicador Setorial Histórico Exemplo;preco_farelo_soja_ton;graos_racao;insumo;Farelo de soja;MG;;1473.8764;R$/ton;mensal
2018-10-01;Indicador Setorial Histórico Exemplo;preco_fish_meal_ton;graos_racao;insumo global;Farinha de peixe;BR;;1338.4486;US$/ton;mensal
2018-11-01;Indicador Setorial Histórico Exemplo;preco_tilapia_kg;proteina;pescado;Tilápia;MG;;14.7335;R$/kg;mensal
2018-11-01;Indicador Setorial Histórico Exemplo;preco_salmao_kg;proteina;pescado importado;Salmão;MG;;49.2954;R$/kg;mensal
2018-11-01;Indicador Setorial Histórico Exemplo;preco_bacalhau_kg;proteina;pescado importado;Bacalhau;MG;;66.3186;R$/kg;mensal
2018-11-01;Indicador Setorial Histórico Exemplo;preco_camarao_kg;proteina;pescado importado;Camarão;MG;;57.175;R$/kg;mensal
2018-11-01;Indicador Setorial Histórico Exemplo;preco_frango_kg;proteina;concorrente;Frango;MG;;7.6022;R$/kg;mensal
2018-11-01;Indicador Setorial Histórico Exemplo;preco_suino_kg;proteina;concorrente;Suíno;MG;;13.328;R$/kg;mensal
2018-11-01;Indicador Setorial Histórico Exemplo;preco_bovino_kg;proteina;concorrente;Bovino;MG;;26.6369;R$/kg;mensal
2018-11-01;Indicador Setorial Histórico Exemplo;preco_ovos_duzia;proteina;concorrente;Ovos;MG;;8.5343;R$/dz;mensal
2018-11-01;Indicador Setorial Histórico Exemplo;preco_milho_sc;graos_racao;insumo;Milho;MG;;37.7036;R$/sc;mensal
2018-11-01;Indicador Setorial Histórico Exemplo;preco_soja_sc;graos_racao;insumo;Soja;MG;;80.0288;R$/sc;mensal
2018-11-01;Indicador Setorial Histórico Exemplo;preco_farelo_soja_ton;graos_racao;insumo;Farelo de soja;MG;;1451.8316;R$/ton;mensal
2018-11-01;Indicador Setorial Histórico Exemplo;preco_fish_meal_ton;graos_racao;insumo global;Farinha de peixe;BR;;1362.0013;US$/ton;mensal
2018-12-01;Indicador Setorial Histórico Exemplo;preco_tilapia_kg;proteina;pescado;Tilápia;MG;;15.2773;R$/kg;mensal
2018-12-01;Indicador Setorial Histórico Exemplo;preco_salmao_kg;proteina;pescado importado;Salmão;MG;;52.6436;R$/kg;mensal
2018-12-01;Indicador Setorial Histórico Exemplo;preco_bacalhau_kg;proteina;pescado importado;Bacalhau;MG;;66.5427;R$/kg;mensal
2018-12-01;Indicador Setorial Histórico Exemplo;preco_camarao_kg;proteina;pescado importado;Camarão;MG;;57.8869;R$/kg;mensal
2018-12-01;Indicador Setorial Histórico Exemplo;preco_frango_kg;proteina;concorrente;Frango;MG;;7.7679;R$/kg;mensal
2018-12-01;Indicador Setorial Histórico Exemplo;preco_suino_kg;proteina;concorrente;Suíno;MG;;12.9925;R$/kg;mensal
2018-12-01;Indicador Setorial Histórico Exemplo;preco_bovino_kg;proteina;concorrente;Bovino;MG;;27.2785;R$/kg;mensal
2018-12-01;Indicador Setorial Histórico Exemplo;preco_ovos_duzia;proteina;concorrente;Ovos;MG;;9.0208;R$/dz;mensal
2018-12-01;Indicador Setorial Histórico Exemplo;preco_milho_sc;graos_racao;insumo;Milho;MG;;39.5178;R$/sc;mensal
2018-12-01;Indicador Setorial Histórico Exemplo;preco_soja_sc;graos_racao;insumo;Soja;MG;;80.0176;R$/sc;mensal
2018-12-01;Indicador Setorial Histórico Exemplo;preco_farelo_soja_ton;graos_racao;insumo;Farelo de soja;MG;;1506.7563;R$/ton;mensal
2018-12-01;Indicador Setorial Histórico Exemplo;preco_fish_meal_ton;graos_racao;insumo global;Farinha de peixe;BR;;1372.5397;US$/ton;mensal
2019-01-01;Indicador Setorial Histórico Exemplo;preco_tilapia_kg;proteina;pescado;Tilápia;MG;;15.3414;R$/kg;mensal
2019-01-01;Indicador Setorial Histórico Exemplo;preco_salmao_kg;proteina;pescado importado;Salmão;MG;;53.8219;R$/kg;mensal
2019-01-01;Indicador Setorial Histórico Exemplo;preco_bacalhau_kg;proteina;pescado importado;Bacalhau;MG;;67.0103;R$/kg;mensal
2019-01-01;Indicador Setorial Histórico Exemplo;preco_camarao_kg;proteina;pescado importado;Camarão;MG;;59.5154;R$/kg;mensal
2019-01-01;Indicador Setorial Histórico Exemplo;preco_frango_kg;proteina;concorrente;Frango;MG;;7.7873;R$/kg;mensal
2019-01-01;Indicador Setorial Histórico Exemplo;preco_suino_kg;proteina;concorrente;Suíno;MG;;13.3415;R$/kg;mensal
2019-01-01;Indicador Setorial Histórico Exemplo;preco_bovino_kg;proteina;concorrente;Bovino;MG;;27.5725;R$/kg;mensal
2019-01-01;Indicador Setorial Histórico Exemplo;preco_ovos_duzia;proteina;concorrente;Ovos;MG;;8.9641;R$/dz;mensal
2019-01-01;Indicador Setorial Histórico Exemplo;preco_milho_sc;graos_racao;insumo;Milho;MG;;41.7452;R$/sc;mensal
2019-01-01;Indicador Setorial Histórico Exemplo;preco_soja_sc;graos_racao;insumo;Soja;MG;;82.6252;R$/sc;mensal
2019-01-01;Indicador Setorial Histórico Exemplo;preco_farelo_soja_ton;graos_racao;insumo;Farelo de soja;MG;;1539.4264;R$/ton;mensal
2019-01-01;Indicador Setorial Histórico Exemplo;preco_fish_meal_ton;graos_racao;insumo global;Farinha de peixe;BR;;1391.1786;US$/ton;mensal
2019-02-01;Indicador Setorial Histórico Exemplo;preco_tilapia_kg;proteina;pescado;Tilápia;MG;;16.1798;R$/kg;mensal
2019-02-01;Indicador Setorial Histórico Exemplo;preco_salmao_kg;proteina;pescado importado;Salmão;MG;;55.203;R$/kg;mensal
2019-02-01;Indicador Setorial Histórico Exemplo;preco_bacalhau_kg;proteina;pescado importado;Bacalhau;MG;;68.0632;R$/kg;mensal
2019-02-01;Indicador Setorial Histórico Exemplo;preco_camarao_kg;proteina;pescado importado;Camarão;MG;;62.1037;R$/kg;mensal
2019-02-01;Indicador Setorial Histórico Exemplo;preco_frango_kg;proteina;concorrente;Frango;MG;;7.7533;R$/kg;mensal
2019-02-01;Indicador Setorial Histórico Exemplo;preco_suino_kg;proteina;concorrente;Suíno;MG;;13.6518;R$/kg;mensal
2019-02-01;Indicador Setorial Histórico Exemplo;preco_bovino_kg;proteina;concorrente;Bovino;MG;;28.1747;R$/kg;mensal
2019-02-01;Indicador Setorial Histórico Exemplo;preco_ovos_duzia;proteina;concorrente;Ovos;MG;;9.1841;R$/dz;mensal
2019-02-01;Indicador Setorial Histórico Exemplo;preco_milho_sc;graos_racao;insumo;Milho;MG;;43.1094;R$/sc;mensal
2019-02-01;Indicador Setorial Histórico Exemplo;preco_soja_sc;graos_racao;insumo;Soja;MG;;88.6009;R$/sc;mensal
2019-02-01;Indicador Setorial Histórico Exemplo;preco_farelo_soja_ton;graos_racao;insumo;Farelo de soja;MG;;1622.7899;R$/ton;mensal
2019-02-01;Indicador Setorial Histórico Exemplo;preco_fish_meal_ton;graos_racao;insumo global;Farinha de peixe;BR;;1476.2128;US$/ton;mensal
2019-03-01;Indicador Setorial Histórico Exemplo;preco_tilapia_kg;proteina;pescado;Tilápia;MG;;16.0659;R$/kg;mensal
2019-03-01;Indicador Setorial Histórico Exemplo;preco_salmao_kg;proteina;pescado importado;Salmão;MG;;55.8305;R$/kg;mensal
2019-03-01;Indicador Setorial Histórico Exemplo;preco_bacalhau_kg;proteina;pescado importado;Bacalhau;MG;;71.2031;R$/kg;mensal
2019-03-01;Indicador Setorial Histórico Exemplo;preco_camarao_kg;proteina;pescado importado;Camarão;MG;;62.4563;R$/kg;mensal
2019-03-01;Indicador Setorial Histórico Exemplo;preco_frango_kg;proteina;concorrente;Frango;MG;;8.1515;R$/kg;mensal
2019-03-01;Indicador Setorial Histórico Exemplo;preco_suino_kg;proteina;concorrente;Suíno;MG;;14.0195;R$/kg;mensal
2019-03-01;Indicador Setorial Histórico Exemplo;preco_bovino_kg;proteina;concorrente;Bovino;MG;;28.8469;R$/kg;mensal
2019-03-01;Indicador Setorial Histórico Exemplo;preco_ovos_duzia;proteina;concorrente;Ovos;MG;;9.2475;R$/dz;mensal
2019-03-01;Indicador Setorial Histórico Exemplo;preco_milho_sc;graos_racao;insumo;Milho;MG;;42.7444;R$/sc;mensal
2019-03-01;Indicador Setorial Histórico Exemplo;preco_soja_sc;graos_racao;insumo;Soja;MG;;89.5903;R$/sc;mensal
2019-03-01;Indicador Setorial Histórico Exemplo;preco_farelo_soja_ton;graos_racao;insumo;Farelo de soja;MG;;1635.4441;R$/ton;mensal
2019-03-01;Indicador Setorial Histórico Exemplo;preco_fish_meal_ton;graos_racao;insumo global;Farinha de peixe;BR;;1499.8956;US$/ton;mensal
2019-04-01;Indicador Setorial Histórico Exemplo;preco_tilapia_kg;proteina;pescado;Tilápia;MG;;16.549;R$/kg;mensal
2019-04-01;Indicador Setorial Histórico Exemplo;preco_salmao_kg;proteina;pescado importado;Salmão;MG;;56.476;R$/kg;mensal
2019-04-01;Indicador Setorial Histórico Exemplo;preco_bacalhau_kg;proteina;pescado importado;Bacalhau;MG;;71.1513;R$/kg;mensal
2019-04-01;Indicador Setorial Histórico Exemplo;preco_camarao_kg;proteina;pescado importado;Camarão;MG;;63.7443;R$/kg;mensal
2019-04-01;Indicador Setorial Histórico Exemplo;preco_frango_kg;proteina;concorrente;Frango;MG;;8.1584;R$/kg;mensal
2019-04-01;Indicador Setorial Histórico Exemplo;preco_suino_kg;proteina;concorrente;Suíno;MG;;13.8186;R$/kg;mensal
2019-04-01;Indicador Setorial Histórico Exemplo;preco_bovino_kg;proteina;concorrente;Bovino;MG;;28.5102;R$/kg;mensal
2019-04-01;Indicador Setorial Histórico Exemplo;preco_ovos_duzia;proteina;concorrente;Ovos;MG;;9.5361;R$/dz;mensal
2019-04-01;Indicador Setorial Histórico Exemplo;preco_milho_sc;graos_racao;insumo;Milho;MG;;43.5957;R$/sc;mensal
2019-04-01;Indicador Setorial Histórico Exemplo;preco_soja_sc;graos_racao;insumo;Soja;MG;;91.5366;R$/sc;mensal
2019-04-01;Indicador Setorial Histórico Exemplo;preco_farelo_soja_ton;graos_racao;insumo;Farelo de soja;MG;;1681.9808;R$/ton;mensal
2019-04-01;Indicador Setorial Histórico Exemplo;preco_fish_meal_ton;graos_racao;insumo global;Farinha de peixe;BR;;1498.1672;US$/ton;mensal
2019-05-01;Indicador Setorial Histórico Exemplo;preco_tilapia_kg;proteina;pescado;Tilápia;MG;;16.4612;R$/kg;mensal
2019-05-01;Indicador Setorial Histórico Exemplo;preco_salmao_kg;proteina;pescado importado;Salmão;MG;;55.1168;R$/kg;mensal
2019-05-01;Indicador Setorial Histórico Exemplo;preco_bacalhau_kg;proteina;pescado importado;Bacalhau;MG;;71.4241;R$/kg;mensal
2019-05-01;Indicador Setorial Histórico Exemplo;preco_camarao_kg;proteina;pescado importado;Camarão;MG;;64.4837;R$/kg;mensal
2019-05-01;Indicador Setorial Histórico Exemplo;preco_frango_kg;proteina;concorrente;Frango;MG;;7.9625;R$/kg;mensal
2019-05-01;Indicador Setorial Histórico Exemplo;preco_suino_kg;proteina;concorrente;Suíno;MG;;14.4274;R$/kg;mensal
2019-05-01;Indicador Setorial Histórico Exemplo;preco_bovino_kg;proteina;concorrente;Bovino;MG;;28.5713;R$/kg;mensal
